route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
9788KV,HSL,788KV,Rautatientori-Kuninkaanmäki-Nikkilä-Hinthaara-Porvoo,,701,http://aikataulut.hsl.fi/linjat/fi/b788KV.html
9841,HSL,841,Itäkeskus-Östersundom-Söderkulla,,701,http://aikataulut.hsl.fi/linjat/fi/b841.html
9841N,HSL,841N,Rautatientori-Östersundom-Söderkulla,,701,http://aikataulut.hsl.fi/linjat/fi/b841N.html
9973,HSL,973,Peijas-Korso-Keravan asema-Virrenkulma,,701,http://aikataulut.hsl.fi/linjat/fi/b973.html
9973L,HSL,973L,Peijas-Korso-Kannisto-Keravan asema-Virrenkulma,,701,http://aikataulut.hsl.fi/linjat/fi/b973L.html
9975,HSL,975,Sorsakorpi-Kerava as.-Mattilanpuisto,,701,http://aikataulut.hsl.fi/linjat/fi/b975.html
9975B,HSL,975B,Sorsakorpi-Keravan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b975B.html
9975K,HSL,975K,Bastukärr-Keravan as.-Mattilanpuisto,,701,http://aikataulut.hsl.fi/linjat/fi/b975K.html
9975T,HSL,975T,Kerava as.-Viro,,701,http://aikataulut.hsl.fi/linjat/fi/b975T.html
9978,HSL,978,Kaskela-Kytömaa-Terveyskeskus,,701,http://aikataulut.hsl.fi/linjat/fi/b978.html
9978L,HSL,978L,Kaskela-Kytömaa-Lapila-Terveyskeskus,,701,http://aikataulut.hsl.fi/linjat/fi/b978L.html
9978T,HSL,978T,Kaskela-Kytömaa-Keravan taksiasema-Terveyskeskus,,701,http://aikataulut.hsl.fi/linjat/fi/b978T.html
9978Z,HSL,978Z,Kaskela-Lapila-Keravan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b978Z.html
9982,HSL,982,Nikkilä-Neulasniitty-Talma,,701,http://aikataulut.hsl.fi/linjat/fi/b982.html
9984,HSL,984,Hindsby (Knuters)-Nikkilä-Talma,,701,http://aikataulut.hsl.fi/linjat/fi/b984.html
9984K,HSL,984K,Hindsby (Knuters)-Nikkilä- Mårsbackantie-Talma,,701,http://aikataulut.hsl.fi/linjat/fi/b984K.html
9985,HSL,985,Nikkilä-Talma-Keravan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b985.html
9985K,HSL,985K,Nikkilä-Bastukärr-Neulasniitty-Talma-Keravan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b985K.html
9986,HSL,986,Nikkilä-Etelä-Paippinen-Järvenpään asema,,701,http://aikataulut.hsl.fi/linjat/fi/si986.html
9986B,HSL,986B,Nikkilä-Etelä-Paippinen-Rajakulma,,701,http://aikataulut.hsl.fi/linjat/fi/si986.html
9987,HSL,987,Nikkilä-Pornainen-Järvenpään asema,,701,http://aikataulut.hsl.fi/linjat/fi/b987.html
9987B,HSL,987B1,Nikkilä-Pornainen,,701,http://aikataulut.hsl.fi/linjat/fi/b987B1.html
9987BB,HSL,987BB,Nikkilä-Jokimäki-Laukkoski,,701,http://aikataulut.hsl.fi/linjat/fi/b987BB.html
9989,HSL,989,Pornainen-Järvenpää as.,,701,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
9989B,HSL,989B,Jokimäki-Laukkoski-Pornainen-Pihlajamäki,,701,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
9989BB,HSL,989BB,Pornainen-Halkia-Pihlajamäki,,701,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
9989J,HSL,989J,Jokimäki-Pornainen-Järvenpää as.,,701,https://www.hsl.fi/sites/default/files/uploads/sipoo-21_sivua.pdf
9991,HSL,991,Eriksnäs-Söderkulla-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b991.html
9991B,HSL,991B,Söderkulla-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b991B.html
9992,HSL,992,Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b992.html
9992B,HSL,992B,Nikkilä-Hindsby-Massby-Söderkulla,,701,http://aikataulut.hsl.fi/linjat/fi/b992B.html
9993,HSL,993,Söderkulla-Box-Gesterby-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b993.html
9993K,HSL,993K,Söderkulla-Box-Gesterby-Nikkilä,,701,http://aikataulut.hsl.fi/linjat/fi/b993K.html
9994,HSL,994,Söderkulla-Immersby-Gumbostrand,,701,http://aikataulut.hsl.fi/linjat/fi/b994.html
9994K,HSL,994K,Söderkulla-Gumbostrand,,701,http://aikataulut.hsl.fi/linjat/fi/b994K.html
9995,HSL,995,Söderkulla-Kalkkiranta,,701,http://aikataulut.hsl.fi/linjat/fi/b995.html
9996,HSL,996,Söderkulla-Box-Spjutsund-Kitö,,701,http://aikataulut.hsl.fi/linjat/fi/b996.html
